SN,IP Delay (ms)
9001,20.95198631286621
9002,20.88594436645508
9003,20.895957946777344
9004,20.8120346069336
9005,20.740985870361328
9006,20.67804336547852
9007,20.60198783874512
9008,20.519018173217773
9009,20.47109603881836
9010,20.390987396240234
9011,20.390987396240234
9012,20.22600173950196
9013,20.2021598815918
9014,20.19596099853516
9015,20.10703086853028
9016,20.068883895874023
9017,19.97590065002441
9018,19.92511749267578
9019,19.84715461730957
9020,19.8361873626709
9021,19.706010818481445
9022,19.694805145263672
9023,19.64282989501953
9024,19.55199241638184
9025,19.49501037597656
9026,19.42300796508789
9027,19.37699317932129
9028,19.28400993347168
9029,19.24586296081543
9030,19.17386054992676
9031,19.09494400024414
9032,19.09494400024414
9033,18.95904541015625
9034,18.939971923828125
9035,18.861055374145508
9036,18.82004737854004
9037,18.74995231628418
9038,18.69416236877441
9039,18.630027770996094
9040,18.55087280273437
9041,18.474817276000977
9042,18.3868408203125
9043,18.32890510559082
9044,18.339157104492188
9045,18.193960189819336
9046,18.19014549255371
9047,18.12291145324707
9048,18.039941787719727
9049,17.969131469726562
9050,17.911195755004883
9051,17.82512664794922
9052,17.863988876342773
9053,17.694950103759766
9054,17.70305633544922
9055,17.635822296142578
9056,17.54903793334961
9057,17.48490333557129
9058,17.4100399017334
9059,17.366886138916016
9060,17.26388931274414
9061,17.194032669067383
9062,17.18282699584961
9063,17.060041427612305
9064,17.05002784729004
9065,16.978979110717773
9066,16.916990280151367
9067,16.849994659423828
9068,16.791105270385742
9069,16.76011085510254
9070,16.665935516357422
9071,16.579866409301758
9072,16.502857208251953
9073,16.451120376586914
9074,16.453027725219727
9075,16.295909881591797
9076,16.295909881591797
9077,16.231060028076172
9078,21.198034286499023
9079,21.10600471496582
9080,21.02804183959961
9081,21.010875701904297
9082,20.88594436645508
9083,20.865917205810547
9084,20.81608772277832
9085,20.70903778076172
9086,20.647048950195312
9087,20.59412002563477
9088,20.5068588256836
9089,20.45297622680664
9090,20.38502693176269
9091,20.39194107055664
9092,20.25794982910156
9093,20.273923873901367
9094,20.19500732421875
9095,20.094871520996094
9096,20.02215385437012
9097,19.968032836914062
9098,19.91820335388184
9099,19.85383033752441
9100,19.77801322937012
9101,19.7451114654541
9102,19.630908966064453
9103,19.631147384643555
9104,19.53411102294922
9105,19.4699764251709
9106,19.41514015197754
9107,19.31095123291016
9108,19.268035888671875
9109,19.175052642822266
9110,19.124984741210938
9111,19.05512809753418
9112,18.997907638549805
9113,18.989086151123047
9114,18.85104179382324
9115,18.83816719055176
9116,18.77093315124512
9117,18.719911575317383
9118,18.62478256225586
9119,19.6380615234375
9120,18.535852432250977
9121,18.43094825744629
9122,18.40686798095703
9123,18.290042877197266
9124,18.26190948486328
9125,18.22090148925781
9126,18.07212829589844
9127,18.080949783325195
9128,17.99607276916504
9129,17.95792579650879
9130,17.917871475219727
9131,17.835140228271484
9132,17.753124237060547
9133,17.66800880432129
9134,17.62700080871582
9135,17.60411262512207
9136,17.49587059020996
9137,17.462968826293945
9138,17.4100399017334
9139,17.316818237304688
9140,17.244815826416016
9141,17.1968936920166
9142,17.117977142333984
9143,17.055988311767578
9144,17.000198364257812
9145,16.90196990966797
9146,16.854047775268555
9147,16.77703857421875
9148,16.715049743652344
9149,16.711950302124023
9150,16.627073287963867
9151,16.60299301147461
9152,16.541004180908203
9153,16.463041305541992
9154,16.4029598236084
9155,16.325950622558594
9156,16.246795654296875
9157,16.184091567993164
9158,21.162033081054688
9159,21.08001708984375
9160,21.02208137512207
9161,20.92909812927246
9162,20.884990692138672
9163,20.792007446289062
9164,20.743846893310547
9165,20.661115646362305
9166,20.651817321777344
9167,20.51401138305664
9168,20.55191993713379
9169,20.399093627929688
9170,20.40314674377441
9171,20.3249454498291
9172,20.25699615478516
9173,20.16186714172364
9174,20.13397216796875
9175,20.04098892211914
9176,19.97900009155273
9177,19.917011260986328
9178,19.83809471130371
9179,19.787073135375977
9180,19.79708671569824
9181,19.63496208190918
9182,19.654035568237305
9183,19.55413818359375
9184,19.48785781860352
9185,19.4089412689209
9186,19.34409141540528
9187,19.29306983947754
9188,19.203901290893555
9189,19.137859344482425
9190,19.079923629760746
9191,18.98789405822754
9192,18.999099731445312
9193,18.85509490966797
9194,18.88298988342285
9195,18.78595352172852
9196,18.722057342529297
9197,18.665075302124023
9198,18.60904693603516
9199,18.52297782897949
9200,18.436908721923828
9201,18.377065658569336
9202,18.377065658569336
9203,18.24307441711425
9204,18.25690269470215
9205,18.168926239013672
9206,18.09215545654297
9207,18.03207397460937
9208,17.966032028198242
9209,17.963171005249023
9210,17.86184310913086
9211,17.83299446105957
9212,17.77195930480957
9213,17.698049545288086
9214,17.653942108154297
9215,17.575979232788086
9216,17.518997192382812
9217,17.457962036132812
9218,17.384052276611328
9219,17.322063446044922
9220,17.267942428588867
9221,17.173051834106445
9222,17.126083374023438
9223,17.125844955444336
9224,16.9830322265625
9225,16.955137252807617
9226,16.888856887817383
9227,16.82305335998535
9228,16.758203506469727
9229,16.668081283569336
9230,16.629934310913086
9231,16.58010482788086
9232,16.507863998413086
9233,16.424894332885742
9234,16.34502410888672
9235,16.340970993041992
9236,16.195058822631836
9237,21.183013916015625
9238,21.095991134643555
9239,21.038055419921875
9240,20.971059799194336
9241,20.89476585388184
9242,20.840883255004883
9243,20.75982093811035
9244,20.692110061645508
9245,20.669937133789062
9246,20.56097984313965
9247,20.539045333862305
9248,20.47300338745117
9249,20.413875579833984
9250,20.339012145996094
9251,20.264863967895508
9252,20.194053649902344
9253,20.13397216796875
9254,20.116090774536133
9255,19.97709274291992
9256,19.97995376586914
9257,19.90008354187012
9258,19.82998847961425
9259,19.761085510253903
9260,19.67978477478028
9261,19.623994827270508
9262,19.627094268798828
9263,19.477128982543945
9264,19.43087577819824
9265,19.36793327331543
9266,19.34695243835449
9267,19.232988357543945
9268,19.21296119689941
9269,19.16122436523437
9270,20.01309394836425
9271,18.99385452270508
9272,18.963098526000977
9273,18.890857696533203
9274,18.82410049438477
9275,18.756866455078125
9276,18.687009811401367
9277,18.620014190673828
9278,18.6159610748291
9279,18.48483085632324
9280,18.48697662353516
9281,18.39685440063477
9282,18.323183059692383
9283,18.2490348815918
9284,18.177032470703125
9285,18.124818801879883
9286,18.103837966918945
9287,18.004894256591797
9288,17.945051193237305
9289,17.872095108032227
9290,17.891883850097656
9291,17.704010009765625
9292,17.70305633544922
9293,17.635822296142578
9294,17.612934112548828
9295,17.589092254638672
9296,17.472028732299805
9297,17.371177673339844
9298,17.314910888671875
9299,17.245054244995117
9300,17.222166061401367
9301,17.088890075683594
9302,17.07005500793457
9303,17.024993896484375
9304,16.96610450744629
9305,16.8759822845459
9306,16.808032989501953
9307,16.757965087890625
9308,16.691923141479492
9309,16.618967056274414
9310,16.53909683227539
9311,16.468048095703125
9312,16.409873962402344
9313,16.335010528564453
9314,16.31903648376465
9315,16.261816024780273
9316,21.18802070617676
9317,21.06785774230957
9318,21.03710174560547
