SN,IP Delay (ms)
1,20.129919052124023
2,19.016027450561523
3,19.00005340576172
4,17.98081398010254
5,20.273923873901367
6,16.494035720825195
7,16.488075256347656
8,16.366958618164062
9,16.3419246673584
10,20.704030990600582
11,21.104097366333008
12,21.10505104064941
13,20.967960357666016
14,20.954132080078125
15,20.95198631286621
16,20.813941955566406
17,20.863056182861328
18,20.71094512939453
19,20.69997787475586
20,20.581960678100582
21,20.56288719177246
22,20.447969436645508
23,20.43485641479492
24,20.41912078857422
25,20.28799057006836
26,20.29609680175781
27,20.156145095825195
28,20.16806602478028
29,20.023107528686523
30,20.014047622680664
31,19.87481117248535
32,19.891977310180664
33,19.765853881835938
34,19.750118255615234
35,19.639015197753903
36,19.634008407592773
37,19.49787139892578
38,19.509077072143555
39,19.34409141540528
40,19.412994384765625
41,19.28281784057617
42,19.26589012145996
43,19.082069396972656
44,19.102096557617188
45,19.09089088439941
46,18.964052200317383
47,18.945932388305664
48,18.810033798217773
49,18.79191398620605
50,18.652915954589844
51,18.657922744750977
52,18.533945083618164
53,18.538951873779297
54,18.421173095703125
55,18.414974212646484
56,18.4018611907959
57,18.254995346069336
58,18.24593544006348
59,18.15104484558105
60,18.129825592041016
61,18.04494857788086
62,18.049001693725582
63,17.889022827148438
64,17.90785789489746
65,17.745018005371094
66,17.735958099365234
67,17.602920532226562
68,17.60411262512207
69,17.49706268310547
70,17.488956451416016
71,17.336130142211914
72,17.319917678833008
73,17.174959182739258
74,17.18902587890625
75,17.189979553222656
76,17.05789566040039
77,17.035961151123047
78,16.89910888671875
79,16.888141632080078
80,16.74199104309082
81,16.735076904296875
82,16.620874404907227
83,16.604185104370117
84,16.47806167602539
85,16.47496223449707
86,16.451120376586914
87,16.33310317993164
88,16.34502410888672
89,21.23403549194336
90,21.088838577270508
91,21.08287811279297
92,20.9341049194336
93,20.93696594238281
94,20.80702781677246
95,20.81012725830078
96,20.78700065612793
97,20.67708969116211
98,20.615816116333008
99,20.53308486938477
100,20.548105239868164
101,20.41292190551757
102,20.408153533935547
103,20.27606964111328
104,20.28107643127441
105,20.124197006225582
106,20.082950592041016
107,20.069122314453125
108,19.97709274291992
109,19.97900009155273
110,19.852876663208008
111,19.824981689453125
112,19.694089889526367
113,19.69599723815918
114,19.565105438232425
115,19.572019577026367
116,19.437074661254883
117,19.437074661254883
118,19.29497718811035
119,19.29903030395508
120,19.14691925048828
121,19.1500186920166
122,19.002914428710938
123,19.00196075439453
124,18.8899040222168
125,18.877029418945312
126,18.876075744628903
127,18.73612403869629
128,18.73111724853516
129,18.60690116882324
130,18.589019775390625
131,18.477916717529297
132,18.47386360168457
133,18.350839614868164
134,18.33581924438477
135,18.204927444458008
136,18.204927444458008
137,18.22090148925781
138,18.082141876220703
139,18.108129501342773
140,17.943143844604492
141,17.950057983398438
142,17.831087112426758
143,17.795801162719727
144,17.668962478637695
145,17.683029174804688
146,17.53687858581543
147,17.533063888549805
148,17.518997192382812
149,17.393112182617188
150,17.405986785888672
151,17.249107360839844
152,17.268896102905273
153,17.122983932495117
154,17.132997512817383
155,16.97707176208496
156,17.001867294311523
157,16.859054565429688
158,16.862869262695312
159,16.707897186279297
160,16.709089279174805
161,16.59989356994629
162,16.58010482788086
163,16.457080841064453
164,16.458988189697266
165,16.339778900146484
166,16.327857971191406
167,16.31784439086914
168,16.19696617126465
169,21.093130111694336
170,21.10791206359864
171,21.012067794799805
172,20.99609375
173,20.86496353149414
174,20.838022232055664
175,20.73907852172852
176,20.74909210205078
177,20.59316635131836
178,20.573139190673828
179,20.55811882019043
180,20.423173904418945
181,20.43914794921875
182,20.298004150390625
183,20.29705047607422
184,20.158052444458008
185,20.16687393188477
186,20.023107528686523
187,20.01786231994629
188,20.01595497131348
189,19.880056381225582
190,19.87600326538086
191,19.7451114654541
192,19.72508430480957
193,19.60110664367676
194,19.61994171142578
195,19.501924514770508
196,19.45710182189941
197,19.3328857421875
198,19.31095123291016
199,19.331932067871094
200,19.178152084350582
201,19.199132919311523
202,19.0420150756836
203,19.05202865600586
204,18.95904541015625
205,18.934965133666992
206,18.80097389221192
207,18.805980682373047
208,18.64504814147949
209,18.691062927246094
210,18.54181289672852
211,18.568992614746094
212,18.41402053833008
213,18.39303970336914
214,18.28289031982422
215,18.24808120727539
216,18.21017265319824
217,18.16391944885254
218,18.01609992980957
219,18.007993698120117
220,17.9898738861084
221,17.868995666503906
222,17.856836318969727
223,17.737150192260742
224,17.714977264404297
225,17.5931453704834
226,17.580032348632812
227,17.43912696838379
228,17.467021942138672
229,17.470121383666992
230,17.319202423095703
231,17.335891723632812
232,17.203092575073242
233,17.177820205688477
234,17.063140869140625
235,17.0438289642334
236,16.946077346801758
237,16.941070556640625
238,16.85500144958496
239,16.84713363647461
240,16.715049743652344
241,16.72196388244629
242,16.572952270507812
243,16.4339542388916
244,16.265153884887695
245,16.33000373840332
246,21.164894104003903
247,21.18086814880371
248,21.125078201293945
249,21.01588249206543
250,21.041154861450195
251,20.886898040771484
252,20.67089080810547
253,20.509004592895508
254,20.517826080322266
255,20.38192749023437
256,20.44391632080078
257,20.264863967895508
258,20.26009559631348
259,20.092010498046875
260,20.086050033569336
261,19.955873489379883
262,19.98615264892578
263,19.8209285736084
264,19.819021224975582
265,19.809961318969727
266,19.68693733215332
267,19.721031188964844
268,19.568920135498047
269,19.57392692565918
270,19.4089412689209
271,19.40608024597168
272,19.302845001220703
273,19.301176071166992
274,19.29593086242676
275,19.14381980895996
276,19.171953201293945
277,18.99409294128418
278,19.044160842895508
279,18.88012886047364
280,18.896818161010746
281,18.77403259277344
282,18.76306533813477
283,18.594980239868164
284,18.59903335571289
285,18.48292350769043
286,18.49508285522461
287,18.37611198425293
288,18.321990966796875
289,18.18990707397461
290,18.208026885986328
291,18.091917037963867
292,18.07093620300293
293,17.939090728759766
294,17.95196533203125
295,17.908096313476562
296,17.79794692993164
297,17.837047576904297
298,17.66800880432129
299,17.70496368408203
300,17.540931701660156
301,17.54617691040039
302,17.407894134521484
